variable,label,decision,registered,missing,section
PARENTESCO_RED_FAMILIA_AMISTAD_4,La persona usuaria será insertada con familiares / amistades 4: Parentesco / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
EDAD_RED_FAMILIA_AMISTAD_4,La persona usuaria será insertada con familiares / amistades 4: Edad del familiar / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PARENTESCO_RED_FAMILIA_AMISTAD_5,La persona usuaria será insertada con familiares / amistades 5: Parentesco / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
EDAD_RED_FAMILIA_AMISTAD_5,La persona usuaria será insertada con familiares / amistades 5: Edad del familiar / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSERCION_RED_HRT,La persona usuaria será insertada en un Hogar de Refugio Temporal (HRT),Indicador agregado,4479,115689,riesgo
NOMBRE_HRT_1,La persona usuaria será insertada en un HRT 1: Nombre del HRT,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOMBRE_HRT_2,La persona usuaria será insertada en un HRT 2: Nombre del HRT,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOMBRE_HRT_3,La persona usuaria será insertada en un HRT 3: Nombre del HRT,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOMBRE_HRT_4,La persona usuaria será insertada en un HRT 4: Nombre del HRT,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MOTIVO_NO_INSERCION_RED,Indicar los motivos que tiene la persona usuaria para no aceptar ser insertada en redes familiares o sociales:,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
IMPL_PLAN_REINTEGRACION,Implementación del Plan de Reintegración,Indicador agregado,120168,0,riesgo
REALIZA_VISITA_DOM,¿Se realiza visita domiciliaria?,Indicador agregado,77716,42452,riesgo
MOTIVO_NO_VISITA_DOM,Motivo por el cual no realiza la visita domiciliaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
RESULTADO_VISITA_DOM,Resultado de la visita domiciliaria: Estimación del riesgo,Indicador agregado,38003,82165,riesgo
ACCIONES_VISITA_INCIDENTE,Acciones a realizar,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
APRECIACION_PROF_SOCIAL,Apreciación profesional del servicio de social y acciones inmediatas (solo si se cuenta con el servicio de social),"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSTANCIA_POLICIAL,"Instancia en la que se encuentra el proceso de investigación, antes de la intervención del CEM: Dependencia Policial",Indicador agregado,76185,43983,justicia
NOMBRE_INSTANCIA_POLICIAL,Nombre de la dependencia policial en la que se encuentra el proceso de investigación,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_INSTANCIA_POLICIAL,Fecha que inicia el proceso de investigación en la dependencia policial,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSTANCIA_FISCAL,"Instancia en la que se encuentra el proceso de investigación, antes de la intervención del CEM: Dependencia Fiscal",Indicador agregado,9705,110463,justicia
NOMBRE_INSTANCIA_FISCAL,Nombre de la dependencia fiscal en la que se encuentra el proceso de investigación,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_INSTANCIA_FISCAL,Fecha que inicia el proceso de investigación en la dependencia fiscal,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSTANCIA_JUZGADO_PAZ_LETRADO,"Instancia en la que se encuentra el proceso de investigación, antes de la intervención del CEM: Juzgado de Paz Letrado",Indicador agregado,1170,118998,justicia
NOMBRE_INSTANCIA_JUZGADO_PAZ_LETRADO,Nombre del Juzgado de Paz Letrado en la que se encuentra el proceso de investigación,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_INSTANCIA_JUZGADO_PAZ_LETRADO,Fecha que inicia el proceso de investigación en el Juzgado de Paz Letrado,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSTANCIA_JUZGADO_ESPECIALIZADO,"Instancia en la que se encuentra el proceso de investigación, antes de la intervención del CEM: Juzgado Especializado",Indicador agregado,11387,108781,justicia
NOMBRE_INSTANCIA_JUZGADO_ESPECIALIZADO,Nombre del Juzgado Especializado en la que se encuentra el proceso de investigación,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_INSTANCIA_JUZGADO_ESPECIALIZADO,Fecha que inicia el proceso de investigación en el Juzgado Especializado,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSTANCIA_SALA_SUPERIOR,"Instancia en la que se encuentra el proceso de investigación, antes de la intervención del CEM: Sala Superior",Indicador agregado,25,120143,justicia
NOMBRE_INSTANCIA_SALA_SUPERIOR,Nombre de la Sala Superior en la que se encuentra el proceso de investigación,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_INSTANCIA_SALA_SUPERIOR,Fecha que inicia el proceso de investigación en la Sala Superior,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INSTANCIA_SALA_SUPREMA,"Instancia en la que se encuentra el proceso de investigación, antes de la intervención del CEM: Sala Suprema",Indicador agregado,1,120167,justicia
NOMBRE_INSTANCIA_SALA_SUPREMA,Nombre de la Sala Suprema en la que se encuentra el proceso de investigación,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_INSTANCIA_SALA_SUPREMA,Fecha que inicia el proceso de investigación en la Sala Suprema,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MEDIDA_SALIDA_CIUDAD,"Medidas que optó la persona usuaria para su protección, antes de apersonarse al CEM: Se fue a vivir a otra ciudad",Indicador agregado,1156,119012,justicia
MEDIDA_SEPARACION,"Medidas que optó la persona usuaria para su protección, antes de apersonarse al CEM: Se separó de la presunta persona agresora",Indicador agregado,10541,109627,justicia
MEDIDA_CASA_REFUGIO,"Medidas que optó la persona usuaria para su protección, antes de apersonarse al CEM: Se fue a una casa refugio",Indicador agregado,293,119875,justicia
MEDIDA_NINGUNA,"Medidas que optó la persona usuaria para su protección, antes de apersonarse al CEM: No optó por ninguna medida",Indicador agregado,44635,75533,justicia
MEDIDA_OTRA,"Medidas que optó la persona usuaria para su protección, antes de apersonarse al CEM: Otra medida que optó la persona usuaria",Indicador agregado,59037,61131,justicia
ESP_MEDIDA_OTRA,"Medidas que optó la persona usuaria para su protección, antes de apersonarse al CEM: Especificar otra medida","No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CASO_TENTATIVA_DE_FEMINICIDIO,¿El último hecho de violencia se califica como un caso de tentativa de feminicidio?,Indicador agregado,114604,5564,violencia
MOVIL_TENTATIVA_DE_FEMINICIDIO,Presuntos móviles del hecho de la tentativa de feminicidio,Indicador agregado,181,119987,violencia
ESP_OTRO_MOVIL,Especificar Otro presunto móvil de la tentativa de feminicidio,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MODALIDAD_TENTATIVA_DE_FEMINICIDIO,Modalidad del hecho de la tentativa de feminicidio,Indicador agregado,181,119987,violencia
ESP_OTRA_MODALIDAD,Especificar Otra modalidad de la tentativa de feminicidio,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
APRECIACION_PROF_LEGAL,Apreciación profesional del servicio de legal y acciones inmediatas,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
INFORMAR_VIOLENCIA,Plan de Atención Integral: Informar sobre la situación de violencia,Indicador agregado,95890,24278,atencion
INFORMAR_DERECHOS,Plan de Atención Integral: Informar sobre sus derechos,Indicador agregado,91720,28448,atencion
IDENTIFICAR_REPERCUSION,Plan de Atención Integral: Identificar y valorar la repercusión de la situación de la violencia,Indicador agregado,38049,82119,atencion
INFORMAR_SISTEMA_JUSTICIA,Plan de Atención Integral: Informar sobre el sistema de protección y de justicia,Indicador agregado,84877,35291,atencion
ELABORAR_PLAN_SEGURIDAD,Plan de Atención Integral: Elaborar el plan de seguridad,Indicador agregado,93762,26406,atencion
INSERTAR_RED_FAMILIAR,Plan de Atención Integral: Insertar en redes de soporte familiar,Indicador agregado,7356,112812,atencion
INSERTAR_EESS,Plan de Atención Integral: Insertar en establecimiento de salud,Indicador agregado,48252,71916,atencion
DERIVAR_EESS_KIT_EMERGENCIA,Plan de Atención Integral: Derivar a la persona usuaria al EE.SS. Para que acceda al Kit de Emergencia,Indicador agregado,2141,118027,atencion
DERIVAR_SERV_COMPL,Plan de Atención Integral: Articular y derivar a servicios complementarios públicos o privados,Indicador agregado,19409,100759,atencion
COMUNICA_DESPROTECCION,Plan de Atención Integral: Comunicar a la autoridad competente por riesgo de desprotección,Indicador agregado,2159,118009,atencion
PROMUEVE_DENUNCIA,Plan de Atención Integral: Promover la denuncia ante la autoridad competente o presentar escrito de apersonamiento,Indicador agregado,8261,111907,atencion
ACOMPANAR_DENUNCIA,Plan de Atención Integral: Acompañar a la persona usuaria a interponer la denuncia verbal o hacerla por escrito,Indicador agregado,8736,111432,atencion
PRESENTA_APERSONAMIENTO,Plan de Atención Integral: Presentar escrito de apersonamiento,Indicador agregado,54295,65873,atencion
SOLICITAR_MED_PROT_CAUT,Plan de Atención Integral: Solicitar las medidas de protección y cautelares,Indicador agregado,59560,60608,atencion
VERIFICAR_DENUNCIA,Plan de Atención Integral: Verificar que la denuncia legal sea remitida dentro del plazo legal,Indicador agregado,37695,82473,atencion
COMUNICAR_VIOLENCIA,Plan de Atención Integral: Comunicar a la autoridad competente los hechos de violencia cuando la persona usuaria no decide denunciar,Indicador agregado,2713,117455,atencion
CASO_FLAGRANCIA,Plan de Atención Integral: Caso en situación de flagrancia delictiva que se prioriza atención inmediata y conjunta,Indicador agregado,1614,118554,atencion
PROMOVER_ENTREVISTA_UNICA,Plan de Atención Integral: Promover la realización inmediata de la Entrevista Única ante la autoridad competente,Indicador agregado,4413,115755,atencion
SOLICITA_INTERV_POLICIAL,Plan de Atención Integral: Solicitar la intervención policial y detención de la presunta persona agresora,Indicador agregado,1446,118722,atencion
PROMOVER_MED_PROT,Plan de Atención Integral: Promover el cumplimiento de las medidas de protección,Indicador agregado,943,119225,atencion
ELABORA_ACTA_POLICIAL,Plan de Atención Integral: Solicitar la elaboración de acta de intervención policial,Indicador agregado,1521,118647,atencion
OTRA_ACCION,Plan de Atención Integral: Otra acción a realizar,Indicador agregado,15153,105015,atencion
ESP_OTRA_ACCION,Plan de Atención Integral: Especificar Otra acción a realizar,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
OBSERVACIONES_SECCION_E,Observaciones (Sección E),"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CASO_VIOLENCIA_SEXUAL,¿El caso atendido en el CEM son por hechos de violencia sexual?,Indicador agregado,120168,0,atencion
CASO_DERIVADO_EESS,En la Sección E ¿Se ha registrado la acción 13 “Derivación al establecimiento de salud para acceso al Kit de Emergencia en casos de violencia sexual”?,Indicador agregado,21696,98472,atencion
NOMBRE_EESS,Nombre del establecimiento de salud,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PROFESIONAL_EESS,Profesional del establecimiento de salud que brindó la información,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MOTIVO_NO_DERIVA_EESS,¿Por qué motivo el CEM no derivo el caso a un establecimiento de salud?,Indicador agregado,18562,101606,atencion
ESP_OTRO_MOTIVO_NO_DERIVA_EESS,"Especificar otros motivos, por qué motivo el CEM no derivó el caso a un establecimiento de salud","No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_DE_VIOLENCIA_ATENCION_LEGAL,Tipo de violencia en la atención legal del caso,Indicador agregado,105826,14342,justicia
TIPO_DE_PROCESO_ATENCION_LEGAL,Tipo de proceso (Código aplicado al proceso),Indicador agregado,105048,15120,justicia
INSTANCIA_PROCESO,Instancia del proceso,Indicador agregado,104386,15782,justicia
MES,Mes del caso,Filtro derivado de fecha,,,
DPTO_UBI_CEM,DEPARTAMENTO DE UBICACIÓN DEL CEM,Indicador agregado,120168,0,territorio
REGION_UBI_CEM,REGION DE UBICACIÓN DEL CEM,Indicador agregado,120168,0,territorio
PROV_UBI_CEM,PROVINCIA DE UBICACIÓN DEL CEM,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIST_UBI_CEM,DISTRITO DE UBICACIÓN DEL CEM,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CODIGO_CEM,CODIGO DE ATENCIÓN,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CUI,Código Único de Identificación del Servicio (CUI),"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
UBIGEO,UBIGEO - NUEVO FORMATO,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
UBIGEO_INEI,UBIGEO INEI,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CATEGORIA,Categoría del CEM,Indicador agregado,120168,0,ingreso
MODALIDAD_REGISTRO,Modalidad del Registro de Casos del CEM,Indicador agregado,120168,0,ingreso
VRAEM,Distritos oficiales del ámbito de intervención del VRAEM,Indicador agregado,120168,0,territorio
TIPO_VRAEM,Tipos de ámbitos de intervención del VRAEM,Indicador agregado,2452,117716,territorio
PORCENTAJE_RURAL,Porcentaje de población rural censada 2017 - INEI,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AREA_DISTRITO,Área del distrito (Perfil Rural >= 25%),Indicador agregado,119946,222,territorio
CEM_VIGENTE,CEM vigente a la fecha,Indicador agregado,120168,0,ingreso
FECHA_FUNCIONAMIENTO,"Fecha de funcionamiento del último CEM, por traslado o creado","No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_FUNCIONAMIENTO,"Año de funcionamiento del último CEM, por traslado o creado","No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOMBRE_CUI,Nombre del servicio,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ZONA_LIMA,ZONA_LIMA,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIST_POBRE,Se considera pobre al Distrito que tiene una pobreza monetaria de 40% a más,Indicador agregado,6767,113401,territorio
RANKIN_POBREZA,RANKIN_POBREZA,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOM_DPTO,Departamento de residencia de la persona usuaria,Indicador agregado,120168,0,territorio
NOM_PROV,Provincia de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOM_DIST,Distrito de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NOM_CCPP,Centro Poblado de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
EDAD_GRANDE,Grupo grande de edad,Indicador agregado,120168,0,perfil
EDAD_PEQUENO,Grupo pequeño de edad,Indicador agregado,120168,0,perfil
EDAD_PEQUENO_REPORTE,Grupo pequeño de edad reporte estadístico,Indicador agregado,120168,0,perfil
EDAD_ESPECIAL,Grupo especial de edad,Indicador agregado,120168,0,perfil
EDAD_05_GRUPOS_R_REGIONAL,05 grupos de edad (Reporte Regional),Indicador agregado,120168,0,perfil
EDAD_06_GRUPO_R_DIARIO,06 grupos de edad (Reporte Diario),Indicador agregado,120168,0,perfil
EDAD_06_GRUPO_R_BOLETIN,06 grupos de edad (Reporte Boletín),Indicador agregado,120168,0,perfil
EDAD_05_GRUPO_R_SGIC_1,05 grupos de edad (Reporte Condorcanqui),Indicador agregado,120168,0,perfil
EDAD_04_GRUPO_R_SGIC_2,04 grupos de edad (Reporte Condorcanqui),Indicador agregado,120168,0,perfil
EDAD_PIRAMIDE_POBLACIONAL,Grupo de edad en pirámide poblacional,Indicador agregado,120168,0,perfil
EDAD_PEQUENO_AGRESOR,Grupo pequeño de edad de la presunta persona agresora,Indicador agregado,120168,0,agresor
EDAD_GRANDE_AGRESOR,Grupo de edad grande de la presunta persona agresora,Indicador agregado,120168,0,agresor
VINCULO_GRUPAL,Vínculo general agresor - usuaria,Indicador agregado,120168,0,agresor
CASOS_PERSONAS_LGBTI,Casos de personas LGBTI,Indicador agregado,120168,0,poblaciones
CASOS_PERSONAS_EXTRANJERAS,Casos de personas extranjeras,Indicador agregado,120168,0,poblaciones
CEM_DERIVA_SALUD,Casos derivados a los servicios de salud del MINSA u otro servicio de establecimiento de salud,Indicador agregado,120168,0,atencion
CEM_DERIVA_SALUD_KIT_EMERG,Casos derivados al establecimiento de salud para acceso al Kit de Emergencia,Indicador agregado,120168,0,atencion
CEM_HOGAR_REFUGIO,Casos insertados a un hogar de refugio temporal / casa de acogida,Indicador agregado,120168,0,atencion
SEGURO_MEDICO,Casos donde el CEM gestiona la inscripción en el SIS u otro seguro médico,Indicador agregado,120168,0,atencion
CEM_SOL_MED_PROTECCION,Casos donde el CEM solicita medidas de protección,Indicador agregado,120168,0,justicia
CEM_SOL_MED_CAUTELARES,Casos donde el CEM solicita medidas cautelares,Indicador agregado,120168,0,justicia
CASOS_MEDIDAS_PROTEC_CONCEDIDAS,Casos con medidas de protección concedidas,Indicador agregado,120168,0,justicia
CASOS_MEDIDAS_PROTEC_EJECUTADAS,Casos con medidas de protección ejecutadas,Indicador agregado,120168,0,justicia
CASOS_KIT_EMERG_ENTREG,Casos que cuentan con el Kit de Emergencia Entregado,Indicador agregado,120168,0,atencion
CASOS_DERIV_SERVICIOS_MINJUSDH,Casos derivados a los servicios de Defensa Pública del MINJUSDH,Indicador agregado,120168,0,atencion
CASOS_DERIV_UPE,Casos derivados a la UPE,Indicador agregado,120168,0,atencion
CASOS_INFORME_PSICO,Casos con informe psicológico,Indicador agregado,120168,0,atencion
CASOS_INFORME_SOCIAL,Casos con informe social,Indicador agregado,120168,0,atencion
CASOS_DERIV_SERV_COMPLEMENT,Casos derivados a otros servicios complementarios,Indicador agregado,120168,0,atencion
CASOS_EVOLUCION_RIESGO,Casos con evolución de riesgo,Indicador agregado,120168,0,atencion
CEM_ATENC_PSICOLOG,Casos que cuentan con atención psicológica: Acción 32 (acompañamiento psicojurídico) o Acción 34 (informe psicológico),Indicador agregado,120168,0,atencion
CEM_ATENC_SOCIAL,"Casos que cuentan con atención social: Acción 27 (gestión social), Acción 36 (fortalecimiento de redes familiares o sociales) o Acción 40 (informe social)",Indicador agregado,120168,0,atencion
CEM_DENUNCIA,Casos con denuncia interpuesta por el CEM,Indicador agregado,120168,0,justicia
CEM_ATENC_LEGAL,Casos que cuentan con atención legal: Cualquier acción comprendida en la sección H,Indicador agregado,120168,0,justicia
PATROC_POLICIAL,Casos con patrocinio policial del CEM,Indicador agregado,120168,0,justicia
PATROC_FISCAL,Casos con patrocinio fiscal del CEM,Indicador agregado,120168,0,justicia
PATROC_JUDICIAL,Casos con patrocinio judicial del CEM,Indicador agregado,120168,0,justicia
PATROCINIO_LEGAL,Casos con patrocinio legal del CEM,Indicador agregado,120168,0,justicia
ATENCION_INTEGRAL,"Casos con atención integral por parte del CEM (atención psicológica, atención social y patrocinio legal)",Indicador agregado,120168,0,atencion
ATENCION_INTERDISCIPLINARIA,Casos con atención interdisciplinaria por parte del CEM (Mínimo se haya brindado dos servicios),Indicador agregado,120168,0,atencion
SENT_FAV_JUZG_PAZ_LET,Casos con sentencia favorable en el Juzgado de Paz Letrado,Indicador agregado,120168,0,justicia
SENT_FAV_JUZG_ESPECIAL,Casos con sentencia favorable en el Juzgado Especializado,Indicador agregado,120168,0,justicia
SENT_FAV_SALA_SUPERIOR,Casos con sentencia de vista favorable en la Sala Superior,Indicador agregado,120168,0,justicia
RES_FIN_FAV_SALA_SUPREMA,Casos con resolución final favorable en la Sala Suprema,Indicador agregado,120168,0,justicia
SENTENCIA_FAVORABLE,Casos con alguna sentencia favorable en la Etapa Judicial,Indicador agregado,120168,0,justicia
CASOS_APERSONAMIENTO,Casos que cuentan con apersonamiento legal del CEM,Indicador agregado,120168,0,justicia
CASOS_CONSTITUCION_PARTE_CIVIL,Casos con constitución de parte / actor civil,Indicador agregado,120168,0,justicia
CASOS_CAMARA_GESELL,Casos con participación en cámara Gesell / Entrevista única en la etapa policial o fiscal,Indicador agregado,120168,0,justicia
CASOS_QUEJA_DERECHO_FISCAL,Casos con queja de derecho en la etapa fiscal,Indicador agregado,120168,0,justicia
CASOS_REQUERIMIENTO_ACUSACION_FISCAL,Casos con requerimiento de acusación en la etapa fiscal,Indicador agregado,120168,0,justicia
CASOS_RECURSO_IMPUG_JUDICIAL,Casos con algún recurso impugnatorio en la etapa judicial,Indicador agregado,120168,0,justicia
