variable,label,decision,registered,missing,section
ESP_OTRA_ETNIA_VICTIMA,Especificar otra etnia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_VIA_DOMICILIO,Tipo de vía del domicilio de la persona usuaria,Indicador agregado,120168,0,perfil
DPTO_DOMICILIO,Código UBIGEO del departamento de lugar de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PROV_DOMICILIO,Código UBIGEO de la provincia de lugar de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIST_DOMICILIO,Código UBIGEO del distrito de lugar de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CENTRO_POBLADO_DOMICILIO,Código UBIGEO del centro poblado de lugar de residencia de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AREA_RESIDENCIA_DOMICILIO,Área de residencia del domicilio de la persona usuaria,Indicador agregado,120168,0,territorio
ESTADO_CIVIL_VICTIMA,Estado civil de la persona usuaria,Indicador agregado,120168,0,perfil
NIVEL_EDUCATIVO_VICTIMA,Nivel educativo de la persona usuaria,Indicador agregado,120168,0,perfil
ESTUDIA,"¿Actualmente la persona usuaria estudia en una I.E./Colegio, Instituto Superior, Universidad u otro?",Indicador agregado,120168,0,perfil
LUGAR_ESTUDIA,Situación académica de la persona usuaria: ¿En dónde estudia?,Indicador agregado,43419,76749,perfil
DPTO_ESTUDIA,Situación académica de la persona usuaria: Código UBIGEO del departamento del lugar donde estudia la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PROV_ESTUDIA,Situación académica de la persona usuaria: Código UBIGEO de la provincia del lugar donde estudia la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIST_ESTUDIA,Situación académica de la persona usuaria: Código UBIGEO del distrito del lugar donde estudia la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_GESTION_ESTUDIA,Situación académica de la persona usuaria: Tipo de gestión del lugar donde estudia la persona usuaria,Indicador agregado,43419,76749,perfil
TRABAJA_VICTIMA,¿La persona usuaria cuenta con un trabajo remunerado u ocupación para generar ingresos propios?,Indicador agregado,120168,0,perfil
OCUPACION_VICTIMA,Ocupación de la persona usuaria,Indicador agregado,42384,77784,perfil
ESP_OTRA_OCUPACION_VICTIMA,Especificar otra ocupación de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
SIS_SEGURO,Tipo de seguro médico de la persona usuaria: Seguro Integral de Salud (SIS),Indicador agregado,91971,28197,perfil
ESSALUD_SEGURO,Tipo de seguro médico de la persona usuaria: ESSALUD,Indicador agregado,21351,98817,perfil
PRIVADO_SEGURO,Tipo de seguro médico de la persona usuaria: Seguro privado,Indicador agregado,1651,118517,perfil
PNP_SEGURO,Tipo de seguro médico de la persona usuaria: PNP/FFAA,Indicador agregado,1172,118996,perfil
OTRO_SEGURO,Tipo de seguro médico de la persona usuaria: Otro seguro médico,Indicador agregado,250,119918,perfil
